name,id_original
Walter Hill,35588
Lloyd Ahern II,35588
Josh McLaglen,35588
Roger Donaldson,2087
Peter Menzies Jr.,2087
Howard Deutch,41579
Rose Troche,18620
Bruce Beresford,41006
Sidney Lumet,4916
Andrzej Bartkowiak,4916
John Woo,2019
Russell Carpenter,2019
Monroe Kelly,2019
Oliver Stone,31642
Robert Richardson,31642
Jim Abrahams,9255
John R. Leonetti,9255
Julianna Lavin,26271
Christopher Taylor,26271
Christopher Monger,10612
Vernon Layton,10612
Tina Jones,10612
Bille August,2259
Jörgen Persson,2259
Eric Meza,16097
Roger Deakins,11934
Joel Coen,11934
James L. Brooks,106143
Michael Ballhaus,106143
"Daniel Petrie, Jr.",12475
William Wages,12475
Wolfgang Petersen,9386
John Bailey,9386
Peter Kohn,9386
Peter Biziou,7984
Jim Sheridan,7984
Gerry Toomey,7984
Simon Moseley,7984
Matty Rich,59930
Brian Gibson,15765
Barry Levinson,31643
Stephen Hopkins,6
Peter Levy,6
Steven Spielberg,329
Dean Cundey,329
Lauren Cory,329
TyRuben Ellingson,329
John T. Kretchmer,329
Michele Panelli-Venetis,329
Bojan Bazelli,10909
Dominic Sena,10909
Roger Avary,507
Tom Richmond,507
Steven Soderbergh,34024
Elliot Davis,34024
Daniel Petrie,29918
Dean Semler,9593
John McTiernan,9593
Jim Dultz,9593
Brian W. Cook,9593
James Lapine,42580
Simon Wincer,22317
Paul Hogan,22317
Greg Coote,22317
David Cronenberg,1413
Peter Suschitzky,1413
Ralf D. Bode,12121
Richard Benjamin,12121
Harold Becker,2246
Gordon Willis,2246
Donald McAlpine,10502
Mel Gibson,10502
Woody Allen,10440
Carlo Di Palma,10440
Thomas A. Reilly,10440
Richard Patrick,10440
Albert Hughes,9516
Allen Hughes,9516
Lisa Rinzler,9516
Stuart Baird,2320
Alex Thomson,2320
Nagisa Ōshima,5879
Hideo Itô,5879
Tom Noonan,83718
Kenneth Branagh,11971
Roger Lanser,11971
Mike Figgis,2625
Juan Ruiz Anchía,2625
Anthony Minghella,31911
Geoffrey Simpson,31911
Chris Columbus,788
Donald McAlpine,788
Dick Pope,21450
Mike Leigh,21450
Christopher Cain,11231
László Kovács,11231
Michael Tolkin,41588
Martin Campbell,10447
Phil Meheux,10447
James McTeigue,10447
Rob Reiner,31586
Adam Greenberg,31586
Sally Potter,9300
Aleksei Rodionov,9300
Clint Eastwood,9559
Jack Green,9559
Jonathan Demme,9800
Ronald M. Bozman,9800
Tak Fujimoto,9800
Jane Campion,713
Stuart Dryburgh,713
John Singleton,8291
Peter Lyons Collister,8291
David S. Ward,18133
Victor Hammer,18133
Stuart Orme,25557
Clive Tickner,25557
Mel Smith,22588
Adam Kimmel,10872
Ted Demme,10872
James Ivory,1245
Christopher Newman,1245
Tony Pierce-Roberts,1245
Bernard Bellew,1245
Simon Moseley,1245
Harry Rabinowitz,1245
Adam Greenberg,11858
Penny Marshall,11858
Philip Kaufman,7007
Michael Chapman,7007
Peter Biziou,10467
Alan Parker,10467
Fred Dekker,5550
Gary B. Kibbe,5550
Mel Brooks,8005
Michael D. O'Shea,8005
Gregg Goldstone,8005
Peter Medak,2088
Dariusz Wolski,2088
Geoffrey Wright,10412
Ron Hagen,10412
Victor Nunez,47889
Alex Vlacos,47889
Jennifer Fong,47889
Oliver Wood,14534
David Anspaugh,14534
Tim Hunter,56583
Cyril Collard,41878
Steven Spielberg,424
Janusz Kamiński,424
Michael Ritchie,35233
László Kovács,35233
Conrad L. Hall,14291
Steven Zaillian,14291
Chris Menges,103413
Agnieszka Holland,11236
Roger Deakins,11236
John King,11236
John Waters,11592
Robert M. Stevens,11592
Stephen H. Burum,8850
Russell Mulcahy,8850
Richard Attenborough,10445
Roger Pratt,10445
Robert Altman,695
Walt Lloyd,695
Gillies MacKinnon,43535
John Duigan,12519
Geoff Burton,12519
Fred Schepisi,23210
Nora Ephron,858
Sven Nykvist,858
Phillip Noyce,867
Vilmos Zsigmond,867
Ridley Scott,78
Jordan Cronenweth,78
Stephen Dane,78
Steve Rash,13203
Thomas Schlamme,10442
Julio Macat,10442
Mac Ahlberg,11074
Rowdy Herrington,11074
Pasqualino De Santis,33367
Arthur Joffé,33367
Annabel Jankel,9607
Rocky Morton,9607
Dean Semler,9607
Ernest R. Dickerson,17585
Oliver Wood,9057
Norman Kent,9057
Deran Sarafian,9057
François Girard,20967
Alexander Gruszynski,10635
Andrew Fleming,10635
Pete Kozachik,9479
Henry Selick,9479
Dean Semler,10057
Stephen Herek,10057
Richard Holland,10057
William A. Fraker,11969
George P. Cosmatos,11969
Heywood Gould,41590
Frederick Elmes,41590
Tony Scott,319
Jeffrey L. Kimball,319
D.A. Pennebaker,26408
Chris Hegedus,26408
Joe Johnston,15139
Alexander Gruszynski,15139
Pixote Hunt,15139
Maurice Hunt,15139
Jerry Ciccoritti,161158
Barry Stone,161158
Jennifer Warren,218473
Mark Malone,85247
Todd Solondz,11446
Randy Drummond,11446
Claude Berri,51980
Dennis Hopper,24405
Ueli Steiger,24405
Guillermo Navarro,11655
Guillermo del Toro,11655
Joey Forsyte,11800
Daniel Algrant,11800
Pedro Almodóvar,8223
Alfredo Mayo,8223
Gurinder Chadha,14587
Andrew Scheinman,31504
Åke Sandgren,41653
Richard Loncraine,53185
Eva Sereny,95743
Franco Di Giacomo,95743
Lina Wertmüller,23637
David O. Russell,17600
Michael Mayers,17600
Penelope Spheeris,10897
Richard Bowen,10897
Rémy Duchemin,349394
George T. Miller,21352
Ricky Tognazzi,68806
Alessio Gelsini Torresi,68806
Michael Austin,37345
Rob Epstein,32562
Jeffrey Friedman,32562
Nancy Schreiber,32562
Mathieu Kassovitz,47507
Nanni Moretti,25403
María Luisa Bemberg,124304
Mac Ahlberg,9066
Betty Thomas,9066
Chris Columbus,771
Mark Radcliffe,771
Julio Macat,771
Adam Greenberg,251
Jerry Zucker,251
Doug Chiang,251
Ron Clements,812
John Musker,812
James Cameron,280
Adam Greenberg,280
Kevin Costner,581
Dean Semler,581
Steve Cohen,80350
Roger Pratt,268
Tim Burton,268
Jonathan Demme,274
Ronald M. Bozman,274
Tak Fujimoto,274
Gary Kosko,274
David Hand,408
John Hubley,408
Ford Beebe,408
Carl Fallberg,408
Mike Holoboff,408
Gary Trousdale,10020
Kirk Wise,10020
Hamilton Luske,10895
Ben Sharpsteen,10895
Fred Moore,10895
Frank Thomas,10895
Milt Kahl,10895
Bill Tytla,10895
Ward Kimball,10895
Art Babbitt,10895
Eric Larson,10895
Wolfgang Reitherman,10895
Garry Marshall,114
Charles Minsky,114
Yuri Mamin,41043
Sam Peckinpah,576
Lucien Ballard,576
Clifford C. Coleman,576
C.M. Talkington,15477
Tom Richmond,15477
Huang Jianxin,59146
Jean Bach,124472
Sam Weisman,30528
Kenneth Zunder,30528
Oliver Stapleton,7300
Michael Hoffman,7300
Bill Condon,10824
Tobias A. Schliessler,10824
Witold Stok,261246
Stephen Poliakoff,261246
Roger Deakins,275
Joel Coen,275
David R. Ellis,25059
Gerald Potterton,11827
Gerry Lively,8766
Kevin Yagher,8766
Joe Chappelle,8766
Matt Reeves,23570
Robert Elswit,23570
Franco Zeffirelli,47333
David Watkin,47333
Anna Campion,54850
Franco Brusati,51242
Wolfgang Reitherman,10112
Ken Anderson,10112
Pedro Almodóvar,4307
Affonso Beato,4307
Fernando Trueba,46029
José Luis Alcaine,46029
Bill Couturié,32308
Alan Caso,32308
Werner Herzog,88893
André Téchiné,52873
Mika Kaurismäki,340210
Férid Boughedir,44281
Georges Barsky,44281
Martin Lawrence,28121
Paul Cameron,12520
Stacy Title,12520
